GlobalID,Detection Date,Submission Date,Latitude,Longitude,Notes,Lab Status,note,note_length,kw_large,kw_yellow,kw_queen,month,delay_days,y,prob_img,has_image,num_images,risk_prior,risk_prior_log,prob_positive,mistake_prob
{5AC8034E-5B46-4294-85F0-5B13117EBEFE},2019-12-08,2020-01-15,48.980994,-122.688503,"One dead wasp seen in Blaine, and suspect flying nearby",Positive ID,"one dead wasp seen in blaine, and suspect flying nearby",55,0,0,0,12,38,1,0.0031574199368516014,0,0,12.190162403283443,2.579471279260205,0.9895161499967063,0.01048385000329366
{5EAD3364-2CA7-4A39-9A53-7F9DCF5D2041},2019-10-30,2020-01-15,48.971949,-122.700941,Hornet specimen sent to WSU,Positive ID,hornet specimen sent to wsu,27,0,0,0,10,77,1,0.0031574199368516014,0,0,12.690769564447134,2.616721851339652,0.9933004568356685,0.006699543164331523
{13B67BCB-AFCE-4100-AD2B-76EF178BA228},2020-01-15,2020-01-15,48.9392,-122.6613,"Massive loss of bees, decapitated. No hornet specimens were located.",Unverified,"massive loss of bees, decapitated. no hornet specimens were located.",68,0,0,0,1,0,0,0.0031574199368516014,0,0,11.533071007625034,2.528370831266015,0.7960787957931369,0.2039212042068631
{124B9BFA-7F7B-4B8E-8A56-42E067F0F72E},2019-09-19,2020-02-04,49.149394,-123.943134,"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae",Positive ID,"this was the colony that was found and destroyed in nanaimo, bc sep 18, 2019. there were ~150 live hornets and ~600 unhatched eggs & larvae",139,0,0,0,9,138,1,0.0031574199368516014,0,0,3.005271093138407,1.3876112669033072,0.9605520479848642,0.039447952015135845
{BBBA5BA0-CAFB-43D3-8F1D-FB2D9CF777E0},2019-08-31,2020-02-14,48.723779,-122.354431,"I was cleaning my gutters when I heard a snapping noise coming from the wall of my house. It was sitting on a dirt clump that looked to have been starting a nest. I backed away, and waited till evening to spray hornet killer on it. Next day knocked down",Unverified,"i was cleaning my gutters when i heard a snapping noise coming from the wall of my house. it was sitting on a dirt clump that looked to have been starting a nest. i backed away, and waited till evening to spray hornet killer on it. next day knocked down",253,0,0,0,8,167,0,0.0031574199368516014,0,0,10.176634555317335,2.4138253987355753,0.005062520030894099,0.9949374799691059
{EB4746A1-5A8B-4D7D-9149-D560988238EC},2019-10-15,2020-02-27,48.986176,-122.69745,"We found about a dozen of these bees in our backfield last October while we were storing bee boxes, Sorry no pictures",Unverified,"we found about a dozen of these bees in our backfield last october while we were storing bee boxes, sorry no pictures",117,0,0,0,10,135,0,0.0031574199368516014,0,0,12.776816389164045,2.62298720762837,0.9218187667401411,0.07818123325985893
{C4F44511-EA53-4FCF-9422-E1C57703720D},2020-02-29,2020-02-29,48.729596,-122.480035,"I’m not sure what this is, but it was the biggest looking wasp/hornet I’ve ever seen, at least an inch long. Sorry for the poor quality picture, I went inside to get a glass to catch it and it flew away.",Negative ID,"i’m not sure what this is, but it was the biggest looking wasp/hornet i’ve ever seen, at least an inch long. sorry for the poor quality picture, i went inside to get a glass to catch it and it flew away.",203,0,0,0,2,0,0,0.0031574199368516014,0,0,9.341487335681675,2.3361637016451366,0.008749005411581212,0.9912509945884188
{E6ADE6FB-0BD3-43EC-8E75-72EFC6F029FB},2020-03-01,2020-03-02,48.186024,-122.34468,Reported to Washington Invasive Species Council via voicemail,Unverified,reported to washington invasive species council via voicemail,61,0,0,0,3,1,0,0.0031574199368516014,0,0,2.322260551845197,1.200645440338575,0.00046400537751216977,0.9995359946224879
{89C867F1-D5ED-48C8-9586-B705F5DA9838},2019-09-07,2020-03-18,47.395721,-123.105188,"slow moving, i have this in the freezer still i think. I saw 3 of them 98588",Negative ID,"slow moving, i have this in the freezer still i think. i saw 3 of them 98588",76,0,0,0,9,193,0,0.0031574199368516014,0,0,0.02441597865636978,0.02412267328520211,4.52515575153498e-06,0.9999954748442484
{81670D96-4143-47B1-A9C8-83977892D53F},2020-03-19,2020-03-19,47.840041,-122.323562,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,Negative ID,it landed on my window while working. it walked around and then bounced across it as it tried to fly into the glass.,116,0,0,0,3,0,0,0.0031574199368516014,0,0,0.4648161707286581,0.38172975386437363,9.267214624636619e-07,0.9999990732785375
